measurementID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID,eventID,measurementValueID
IYS:GoA2019_Stn1:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2300,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn2:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2550,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn3:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4100,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn4:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4100,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn5:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4100,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn6:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn7:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn8:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4500,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn9:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4500,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn10:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4600,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn11:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4700,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn12:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4800,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn13:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4800,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn14:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn15:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4400,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn16:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn17:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3320,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn18:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4150,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn19:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn20:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn21:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn22:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3800,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn23:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3800,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn24:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3380,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn25:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn26:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4120,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn27:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4100,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn28:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn29:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn30:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3700,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn31:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4500,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn32:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4500,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn33:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn34:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn35:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4170,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn36:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3900,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn37:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn38:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2800,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn39:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn40:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3900,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn41:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3900,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn42:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3850,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn43:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3900,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn44:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn45:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn46:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4300,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn47:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn48:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn49:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3900,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn50:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3600,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn51:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3800,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn52:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3800,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn53:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4600,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn54:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3600,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn55:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3900,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn56:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3900,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn57:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3220,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn58:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3900,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn59:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4050,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn60:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3800,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn1:juday:volume_filtered,volume_filtered, ,20,cubic meter, ,IYS:GoA2019_Stn1:juday,NA
IYS:GoA2019_Stn1:juday:mesh_size,mesh_size, , ,microns, ,IYS:GoA2019_Stn1:juday,NA
IYS:GoA2019_Stn1:juday:net_opening,net_opening, , , ,NA,IYS:GoA2019_Stn1:juday,NA
IYS:GoA2019_Stn1:juday:gear_type,gear_type, ,Juday Net,NA,NA,IYS:GoA2019_Stn1:juday, 
IYS:GoA2019_Stn1:juday:tow_speed,tow_speed, , , ,NA,IYS:GoA2019_Stn1:juday,NA
IYS:GoA2019_Stn2:juday:volume_filtered,volume_filtered, ,20,cubic meter, ,IYS:GoA2019_Stn2:juday,NA
IYS:GoA2019_Stn2:juday:mesh_size,mesh_size, , ,microns, ,IYS:GoA2019_Stn2:juday,NA
IYS:GoA2019_Stn2:juday:net_opening,net_opening, , , ,NA,IYS:GoA2019_Stn2:juday,NA
IYS:GoA2019_Stn2:juday:gear_type,gear_type, ,Juday Net,NA,NA,IYS:GoA2019_Stn2:juday, 
IYS:GoA2019_Stn2:juday:tow_speed,tow_speed, , , ,NA,IYS:GoA2019_Stn2:juday,NA
IYS:GoA2019_Stn3:juday:volume_filtered,volume_filtered, ,20,cubic meter, ,IYS:GoA2019_Stn3:juday,NA
IYS:GoA2019_Stn3:juday:mesh_size,mesh_size, , ,microns, ,IYS:GoA2019_Stn3:juday,NA
IYS:GoA2019_Stn3:juday:net_opening,net_opening, , , ,NA,IYS:GoA2019_Stn3:juday,NA
IYS:GoA2019_Stn3:juday:gear_type,gear_type, ,Juday Net,NA,NA,IYS:GoA2019_Stn3:juday, 
IYS:GoA2019_Stn3:juday:tow_speed,tow_speed, , , ,NA,IYS:GoA2019_Stn3:juday,NA
IYS:GoA2019_Stn4:juday:volume_filtered,volume_filtered, ,20,cubic meter, ,IYS:GoA2019_Stn4:juday,NA
IYS:GoA2019_Stn4:juday:mesh_size,mesh_size, , ,microns, ,IYS:GoA2019_Stn4:juday,NA
IYS:GoA2019_Stn4:juday:net_opening,net_opening, , , ,NA,IYS:GoA2019_Stn4:juday,NA
IYS:GoA2019_Stn4:juday:gear_type,gear_type, ,Juday Net,NA,NA,IYS:GoA2019_Stn4:juday, 
IYS:GoA2019_Stn4:juday:tow_speed,tow_speed, , , ,NA,IYS:GoA2019_Stn4:juday,NA
IYS:GoA2019_Stn5:juday:volume_filtered,volume_filtered, ,20,cubic meter, ,IYS:GoA2019_Stn5:juday,NA
IYS:GoA2019_Stn5:juday:mesh_size,mesh_size, , ,microns, ,IYS:GoA2019_Stn5:juday,NA
IYS:GoA2019_Stn5:juday:net_opening,net_opening, , , ,NA,IYS:GoA2019_Stn5:juday,NA
IYS:GoA2019_Stn5:juday:gear_type,gear_type, ,Juday Net,NA,NA,IYS:GoA2019_Stn5:juday, 
IYS:GoA2019_Stn5:juday:tow_speed,tow_speed, , , ,NA,IYS:GoA2019_Stn5:juday,NA
IYS:GoA2019_Stn6:juday:volume_filtered,volume_filtered, ,20,cubic meter, ,IYS:GoA2019_Stn6:juday,NA
IYS:GoA2019_Stn6:juday:mesh_size,mesh_size, , ,microns, ,IYS:GoA2019_Stn6:juday,NA
IYS:GoA2019_Stn6:juday:net_opening,net_opening, , , ,NA,IYS:GoA2019_Stn6:juday,NA
IYS:GoA2019_Stn6:juday:gear_type,gear_type, ,Juday Net,NA,NA,IYS:GoA2019_Stn6:juday, 
IYS:GoA2019_Stn6:juday:tow_speed,tow_speed, , , ,NA,IYS:GoA2019_Stn6:juday,NA
IYS:GoA2019_Stn7:juday:volume_filtered,volume_filtered, ,20,cubic meter, ,IYS:GoA2019_Stn7:juday,NA
IYS:GoA2019_Stn7:juday:mesh_size,mesh_size, , ,microns, ,IYS:GoA2019_Stn7:juday,NA
IYS:GoA2019_Stn7:juday:net_opening,net_opening, , , ,NA,IYS:GoA2019_Stn7:juday,NA
IYS:GoA2019_Stn7:juday:gear_type,gear_type, ,Juday Net,NA,NA,IYS:GoA2019_Stn7:juday, 
IYS:GoA2019_Stn7:juday:tow_speed,tow_speed, , , ,NA,IYS:GoA2019_Stn7:juday,NA
IYS:GoA2019_Stn8:juday:volume_filtered,volume_filtered, ,20,cubic meter, ,IYS:GoA2019_Stn8:juday,NA
IYS:GoA2019_Stn8:juday:mesh_size,mesh_size, , ,microns, ,IYS:GoA2019_Stn8:juday,NA
IYS:GoA2019_Stn8:juday:net_opening,net_opening, , , ,NA,IYS:GoA2019_Stn8:juday,NA
IYS:GoA2019_Stn8:juday:gear_type,gear_type, ,Juday Net,NA,NA,IYS:GoA2019_Stn8:juday, 
IYS:GoA2019_Stn8:juday:tow_speed,tow_speed, , , ,NA,IYS:GoA2019_Stn8:juday,NA
IYS:GoA2019_Stn9:juday:volume_filtered,volume_filtered, ,20,cubic meter, ,IYS:GoA2019_Stn9:juday,NA
IYS:GoA2019_Stn9:juday:mesh_size,mesh_size, , ,microns, ,IYS:GoA2019_Stn9:juday,NA
IYS:GoA2019_Stn9:juday:net_opening,net_opening, , , ,NA,IYS:GoA2019_Stn9:juday,NA
IYS:GoA2019_Stn9:juday:gear_type,gear_type, ,Juday Net,NA,NA,IYS:GoA2019_Stn9:juday, 
IYS:GoA2019_Stn9:juday:tow_speed,tow_speed, , , ,NA,IYS:GoA2019_Stn9:juday,NA
IYS:GoA2019_Stn10:juday:volume_filtered,volume_filtered, ,20,cubic meter, ,IYS:GoA2019_Stn10:juday,NA
IYS:GoA2019_Stn10:juday:mesh_size,mesh_size, , ,microns, ,IYS:GoA2019_Stn10:juday,NA
IYS:GoA2019_Stn10:juday:net_opening,net_opening, , , ,NA,IYS:GoA2019_Stn10:juday,NA
IYS:GoA2019_Stn10:juday:gear_type,gear_type, ,Juday Net,NA,NA,IYS:GoA2019_Stn10:juday, 
IYS:GoA2019_Stn10:juday:tow_speed,tow_speed, , , ,NA,IYS:GoA2019_Stn10:juday,NA
IYS:GoA2019_Stn11:juday:volume_filtered,volume_filtered, ,20,cubic meter, ,IYS:GoA2019_Stn11:juday,NA
IYS:GoA2019_Stn11:juday:mesh_size,mesh_size, , ,microns, ,IYS:GoA2019_Stn11:juday,NA
IYS:GoA2019_Stn11:juday:net_opening,net_opening, , , ,NA,IYS:GoA2019_Stn11:juday,NA
IYS:GoA2019_Stn11:juday:gear_type,gear_type, ,Juday Net,NA,NA,IYS:GoA2019_Stn11:juday, 
IYS:GoA2019_Stn11:juday:tow_speed,tow_speed, , , ,NA,IYS:GoA2019_Stn11:juday,NA
IYS:GoA2019_Stn12:juday:volume_filtered,volume_filtered, ,20,cubic meter, ,IYS:GoA2019_Stn12:juday,NA
IYS:GoA2019_Stn12:juday:mesh_size,mesh_size, , ,microns, ,IYS:GoA2019_Stn12:juday,NA
IYS:GoA2019_Stn12:juday:net_opening,net_opening, , , ,NA,IYS:GoA2019_Stn12:juday,NA
IYS:GoA2019_Stn12:juday:gear_type,gear_type, ,Juday Net,NA,NA,IYS:GoA2019_Stn12:juday, 
IYS:GoA2019_Stn12:juday:tow_speed,tow_speed, , , ,NA,IYS:GoA2019_Stn12:juday,NA
IYS:GoA2019_Stn13:juday:volume_filtered,volume_filtered, ,20,cubic meter, ,IYS:GoA2019_Stn13:juday,NA
IYS:GoA2019_Stn13:juday:mesh_size,mesh_size, , ,microns, ,IYS:GoA2019_Stn13:juday,NA
IYS:GoA2019_Stn13:juday:net_opening,net_opening, , , ,NA,IYS:GoA2019_Stn13:juday,NA
IYS:GoA2019_Stn13:juday:gear_type,gear_type, ,Juday Net,NA,NA,IYS:GoA2019_Stn13:juday, 
IYS:GoA2019_Stn13:juday:tow_speed,tow_speed, , , ,NA,IYS:GoA2019_Stn13:juday,NA
IYS:GoA2019_Stn14:juday:volume_filtered,volume_filtered, ,20,cubic meter, ,IYS:GoA2019_Stn14:juday,NA
IYS:GoA2019_Stn14:juday:mesh_size,mesh_size, , ,microns, ,IYS:GoA2019_Stn14:juday,NA
IYS:GoA2019_Stn14:juday:net_opening,net_opening, , , ,NA,IYS:GoA2019_Stn14:juday,NA
IYS:GoA2019_Stn14:juday:gear_type,gear_type, ,Juday Net,NA,NA,IYS:GoA2019_Stn14:juday, 
IYS:GoA2019_Stn14:juday:tow_speed,tow_speed, , , ,NA,IYS:GoA2019_Stn14:juday,NA
IYS:GoA2019_Stn15:juday:volume_filtered,volume_filtered, ,20,cubic meter, ,IYS:GoA2019_Stn15:juday,NA
IYS:GoA2019_Stn15:juday:mesh_size,mesh_size, , ,microns, ,IYS:GoA2019_Stn15:juday,NA
IYS:GoA2019_Stn15:juday:net_opening,net_opening, , , ,NA,IYS:GoA2019_Stn15:juday,NA
IYS:GoA2019_Stn15:juday:gear_type,gear_type, ,Juday Net,NA,NA,IYS:GoA2019_Stn15:juday, 
IYS:GoA2019_Stn15:juday:tow_speed,tow_speed, , , ,NA,IYS:GoA2019_Stn15:juday,NA
IYS:GoA2019_Stn16:juday:volume_filtered,volume_filtered, ,20,cubic meter, ,IYS:GoA2019_Stn16:juday,NA
IYS:GoA2019_Stn16:juday:mesh_size,mesh_size, , ,microns, ,IYS:GoA2019_Stn16:juday,NA
IYS:GoA2019_Stn16:juday:net_opening,net_opening, , , ,NA,IYS:GoA2019_Stn16:juday,NA
IYS:GoA2019_Stn16:juday:gear_type,gear_type, ,Juday Net,NA,NA,IYS:GoA2019_Stn16:juday, 
IYS:GoA2019_Stn16:juday:tow_speed,tow_speed, , , ,NA,IYS:GoA2019_Stn16:juday,NA
IYS:GoA2019_Stn17:juday:volume_filtered,volume_filtered, ,20,cubic meter, ,IYS:GoA2019_Stn17:juday,NA
IYS:GoA2019_Stn17:juday:mesh_size,mesh_size, , ,microns, ,IYS:GoA2019_Stn17:juday,NA
IYS:GoA2019_Stn17:juday:net_opening,net_opening, , , ,NA,IYS:GoA2019_Stn17:juday,NA
IYS:GoA2019_Stn17:juday:gear_type,gear_type, ,Juday Net,NA,NA,IYS:GoA2019_Stn17:juday, 
IYS:GoA2019_Stn17:juday:tow_speed,tow_speed, , , ,NA,IYS:GoA2019_Stn17:juday,NA
IYS:GoA2019_Stn18:juday:volume_filtered,volume_filtered, ,20,cubic meter, ,IYS:GoA2019_Stn18:juday,NA
IYS:GoA2019_Stn18:juday:mesh_size,mesh_size, , ,microns, ,IYS:GoA2019_Stn18:juday,NA
IYS:GoA2019_Stn18:juday:net_opening,net_opening, , , ,NA,IYS:GoA2019_Stn18:juday,NA
IYS:GoA2019_Stn18:juday:gear_type,gear_type, ,Juday Net,NA,NA,IYS:GoA2019_Stn18:juday, 
IYS:GoA2019_Stn18:juday:tow_speed,tow_speed, , , ,NA,IYS:GoA2019_Stn18:juday,NA
IYS:GoA2019_Stn19:juday:volume_filtered,volume_filtered, ,20,cubic meter, ,IYS:GoA2019_Stn19:juday,NA
IYS:GoA2019_Stn19:juday:mesh_size,mesh_size, , ,microns, ,IYS:GoA2019_Stn19:juday,NA
IYS:GoA2019_Stn19:juday:net_opening,net_opening, , , ,NA,IYS:GoA2019_Stn19:juday,NA
IYS:GoA2019_Stn19:juday:gear_type,gear_type, ,Juday Net,NA,NA,IYS:GoA2019_Stn19:juday, 
