eventID,occurrenceID,occurrenceStatus,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonomicRank,parentNameUsageID,kingdom,phylum,class,order,family,genus
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:1:pr1,present,Pisces,urn:lsid:marinespecies.org:taxname:11676,NA,accepted,Superclass,1828,Animalia,Chordata,NA,NA,NA,NA
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:1:pr2,present,Tomopteris,urn:lsid:marinespecies.org:taxname:129715,"Eschscholtz, 1825",accepted,Genus,958,Animalia,Annelida,Polychaeta,Phyllodocida,Tomopteridae,Tomopteris
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2,GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2:pr1,present,Chuneola major,urn:lsid:marinespecies.org:taxname:431286,"M. Vinogradov, 1957",accepted,Species,325373,Animalia,Arthropoda,Malacostraca,Amphipoda,Chuneolidae,Chuneola
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2,GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2:pr2,present,Sergestes pacificus,urn:lsid:marinespecies.org:taxname:585590,"Stimpson, 1860",unaccepted,Species,106829,Animalia,Arthropoda,Malacostraca,Decapoda,Sergestidae,Sergestes
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2,GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2:pr3,present,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",accepted,Species,110673,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2,GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2:pr4,present,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,"(Jordan & Gilbert, 1880)",accepted,Species,271040,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1:pr1,present,Hyperia,urn:lsid:marinespecies.org:taxname:101796,"Latreille, 1823",accepted,Genus,101417,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1:pr2,present,Clione limacina,urn:lsid:marinespecies.org:taxname:139178,"(Phipps, 1774)",accepted,Species,137793,Animalia,Mollusca,Gastropoda,Pteropoda,Clionidae,Clione
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1:pr3,present,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1:pr4,present,Themisto pacifica,urn:lsid:marinespecies.org:taxname:254453,"(Stebbing, 1888)",accepted,Species,101800,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto
GoA2019_Stn5:trawl1:Oncorhynchus keta:1,GoA2019_Stn5:trawl1:Oncorhynchus keta:1:pr1,present,Coelenterata,urn:lsid:marinespecies.org:taxname:152230,NA,nomen nudum,Phylum,2,Animalia,Coelenterata,NA,NA,NA,NA
GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1:pr1,present,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,"(Sasaki, 1923)",unaccepted,Species,1468831,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis
GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1:pr2,present,Hyperia,urn:lsid:marinespecies.org:taxname:101796,"Latreille, 1823",accepted,Genus,101417,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia
GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1:pr3,present,Clio pyramidata,urn:lsid:marinespecies.org:taxname:139033,"Linnaeus, 1767",accepted,Species,137751,Animalia,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1:pr1,present,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",accepted,Species,104155,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1:pr2,present,Sergestes pacificus,urn:lsid:marinespecies.org:taxname:585590,"Stimpson, 1860",unaccepted,Species,106829,Animalia,Arthropoda,Malacostraca,Decapoda,Sergestidae,Sergestes
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1:pr3,present,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",accepted,Species,110673,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1:pr4,present,Hyperia,urn:lsid:marinespecies.org:taxname:101796,"Latreille, 1823",accepted,Genus,101417,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1:pr5,present,Limacina helicina,urn:lsid:marinespecies.org:taxname:140223,"(Phipps, 1774)",accepted,Species,138122,Animalia,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina
GoA2019_Stn8:trawl1:Oncorhynchus keta:2,GoA2019_Stn8:trawl1:Oncorhynchus keta:2:pr1,present,Coelenterata,urn:lsid:marinespecies.org:taxname:152230,NA,nomen nudum,Phylum,2,Animalia,Coelenterata,NA,NA,NA,NA
GoA2019_Stn8:trawl1:Oncorhynchus keta:2,GoA2019_Stn8:trawl1:Oncorhynchus keta:2:pr2,present,Vanadis,urn:lsid:marinespecies.org:taxname:129150,"Claparède, 1870",accepted,Genus,932,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Vanadis
GoA2019_Stn8:trawl1:Oncorhynchus keta:2,GoA2019_Stn8:trawl1:Oncorhynchus keta:2:pr3,present,Sagitta elegans,urn:lsid:marinespecies.org:taxname:105450,"Verrill, 1873",unaccepted,Species,105410,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta
GoA2019_Stn8:trawl1:Oncorhynchus keta:2,GoA2019_Stn8:trawl1:Oncorhynchus keta:2:pr4,present,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",accepted,Species,137233,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa
GoA2019_Stn8:trawl1:Oncorhynchus keta:2,GoA2019_Stn8:trawl1:Oncorhynchus keta:2:pr5,present,Cyclosalpa,urn:lsid:marinespecies.org:taxname:137227,"de Blainville, 1827",accepted,Genus,720268,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Cyclosalpa
GoA2019_Stn8:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn8:trawl1:Oncorhynchus kisutch:1:pr1,present,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,"(Sasaki, 1923)",unaccepted,Species,1468831,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis
GoA2019_Stn8:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn8:trawl1:Oncorhynchus kisutch:1:pr2,present,Thysanoessa longipes,urn:lsid:marinespecies.org:taxname:237873,"Brandt, 1851",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa
GoA2019_Stn8:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn8:trawl1:Oncorhynchus kisutch:1:pr3,present,Clio pyramidata,urn:lsid:marinespecies.org:taxname:139033,"Linnaeus, 1767",accepted,Species,137751,Animalia,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio
GoA2019_Stn8:trawl1:Oncorhynchus kisutch:2,GoA2019_Stn8:trawl1:Oncorhynchus kisutch:2:pr1,present,Thysanoessa longipes,urn:lsid:marinespecies.org:taxname:237873,"Brandt, 1851",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa
GoA2019_Stn8:trawl1:Oncorhynchus kisutch:2,GoA2019_Stn8:trawl1:Oncorhynchus kisutch:2:pr2,present,Clio pyramidata,urn:lsid:marinespecies.org:taxname:139033,"Linnaeus, 1767",accepted,Species,137751,Animalia,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio
GoA2019_Stn9:trawl1:Oncorhynchus keta:1,GoA2019_Stn9:trawl1:Oncorhynchus keta:1:pr1,present,Themisto pacifica,urn:lsid:marinespecies.org:taxname:254453,"(Stebbing, 1888)",accepted,Species,101800,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto
GoA2019_Stn10:trawl1:Oncorhynchus keta:1,GoA2019_Stn10:trawl1:Oncorhynchus keta:1:pr1,present,Themisto pacifica,urn:lsid:marinespecies.org:taxname:254453,"(Stebbing, 1888)",accepted,Species,101800,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto
GoA2019_Stn10:trawl1:Oncorhynchus keta:1,GoA2019_Stn10:trawl1:Oncorhynchus keta:1:pr2,present,Coelenterata,urn:lsid:marinespecies.org:taxname:152230,NA,nomen nudum,Phylum,2,Animalia,Coelenterata,NA,NA,NA,NA
GoA2019_Stn10:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn10:trawl1:Oncorhynchus kisutch:1:pr1,present,Themisto pacifica,urn:lsid:marinespecies.org:taxname:254453,"(Stebbing, 1888)",accepted,Species,101800,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto
GoA2019_Stn10:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn10:trawl1:Oncorhynchus kisutch:1:pr2,present,Primno macropa,urn:lsid:marinespecies.org:taxname:180759,"Guérin-Méneville, 1836",accepted,Species,101806,Animalia,Arthropoda,Malacostraca,Amphipoda,Phrosinidae,Primno
GoA2019_Stn10:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn10:trawl1:Oncorhynchus kisutch:1:pr3,present,Clio pyramidata,urn:lsid:marinespecies.org:taxname:139033,"Linnaeus, 1767",accepted,Species,137751,Animalia,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio
GoA2019_Stn10:trawl1:Oncorhynchus kisutch:2,GoA2019_Stn10:trawl1:Oncorhynchus kisutch:2:pr1,present,Clio pyramidata,urn:lsid:marinespecies.org:taxname:139033,"Linnaeus, 1767",accepted,Species,137751,Animalia,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio
GoA2019_Stn11:trawl1:Oncorhynchus keta:1,GoA2019_Stn11:trawl1:Oncorhynchus keta:1:pr1,present,Tomopteris,urn:lsid:marinespecies.org:taxname:129715,"Eschscholtz, 1825",accepted,Genus,958,Animalia,Annelida,Polychaeta,Phyllodocida,Tomopteridae,Tomopteris
GoA2019_Stn11:trawl1:Oncorhynchus keta:1,GoA2019_Stn11:trawl1:Oncorhynchus keta:1:pr2,present,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa
GoA2019_Stn11:trawl1:Oncorhynchus keta:2,GoA2019_Stn11:trawl1:Oncorhynchus keta:2:pr1,present,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",accepted,Species,110673,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia
GoA2019_Stn11:trawl1:Oncorhynchus keta:2,GoA2019_Stn11:trawl1:Oncorhynchus keta:2:pr2,present,Coelenterata,urn:lsid:marinespecies.org:taxname:152230,NA,nomen nudum,Phylum,2,Animalia,Coelenterata,NA,NA,NA,NA
GoA2019_Stn11:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn11:trawl1:Oncorhynchus kisutch:1:pr1,present,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa
GoA2019_Stn11:trawl1:Oncorhynchus nerka:1,GoA2019_Stn11:trawl1:Oncorhynchus nerka:1:pr1,present,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa
GoA2019_Stn11:trawl1:Oncorhynchus nerka:2,GoA2019_Stn11:trawl1:Oncorhynchus nerka:2:pr1,present,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,"(Jordan & Gilbert, 1880)",accepted,Species,271040,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania
GoA2019_Stn11:trawl1:Oncorhynchus nerka:2,GoA2019_Stn11:trawl1:Oncorhynchus nerka:2:pr2,present,Clio pyramidata,urn:lsid:marinespecies.org:taxname:139033,"Linnaeus, 1767",accepted,Species,137751,Animalia,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio
GoA2019_Stn11:trawl1:Oncorhynchus nerka:2,GoA2019_Stn11:trawl1:Oncorhynchus nerka:2:pr3,present,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,106344,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora
GoA2019_Stn11:trawl1:Oncorhynchus tschawytscha:1,GoA2019_Stn11:trawl1:Oncorhynchus tschawytscha:1:pr1,present,Pisces,urn:lsid:marinespecies.org:taxname:11676,NA,accepted,Superclass,1828,Animalia,Chordata,NA,NA,NA,NA
GoA2019_Stn12:trawl1:Oncorhynchus keta:1,GoA2019_Stn12:trawl1:Oncorhynchus keta:1:pr1,present,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",accepted,Species,110673,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia
GoA2019_Stn12:trawl1:Oncorhynchus keta:1,GoA2019_Stn12:trawl1:Oncorhynchus keta:1:pr2,present,Hyperia,urn:lsid:marinespecies.org:taxname:101796,"Latreille, 1823",accepted,Genus,101417,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia
GoA2019_Stn12:trawl1:Oncorhynchus keta:1,GoA2019_Stn12:trawl1:Oncorhynchus keta:1:pr3,present,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa
GoA2019_Stn12:trawl1:Oncorhynchus keta:1,GoA2019_Stn12:trawl1:Oncorhynchus keta:1:pr4,present,Themisto pacifica,urn:lsid:marinespecies.org:taxname:254453,"(Stebbing, 1888)",accepted,Species,101800,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto
GoA2019_Stn12:trawl1:Oncorhynchus keta:1,GoA2019_Stn12:trawl1:Oncorhynchus keta:1:pr5,present,Primno macropa,urn:lsid:marinespecies.org:taxname:180759,"Guérin-Méneville, 1836",accepted,Species,101806,Animalia,Arthropoda,Malacostraca,Amphipoda,Phrosinidae,Primno
GoA2019_Stn12:trawl1:Oncorhynchus keta:2,GoA2019_Stn12:trawl1:Oncorhynchus keta:2:pr1,present,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa
GoA2019_Stn12:trawl1:Oncorhynchus keta:2,GoA2019_Stn12:trawl1:Oncorhynchus keta:2:pr2,present,Primno macropa,urn:lsid:marinespecies.org:taxname:180759,"Guérin-Méneville, 1836",accepted,Species,101806,Animalia,Arthropoda,Malacostraca,Amphipoda,Phrosinidae,Primno
GoA2019_Stn12:trawl1:Oncorhynchus keta:2,GoA2019_Stn12:trawl1:Oncorhynchus keta:2:pr3,present,Coelenterata,urn:lsid:marinespecies.org:taxname:152230,NA,nomen nudum,Phylum,2,Animalia,Coelenterata,NA,NA,NA,NA
GoA2019_Stn12:trawl1:Oncorhynchus keta:4,GoA2019_Stn12:trawl1:Oncorhynchus keta:4:pr1,present,Sergestes pacificus,urn:lsid:marinespecies.org:taxname:585590,"Stimpson, 1860",unaccepted,Species,106829,Animalia,Arthropoda,Malacostraca,Decapoda,Sergestidae,Sergestes
GoA2019_Stn12:trawl1:Oncorhynchus nerka:1,GoA2019_Stn12:trawl1:Oncorhynchus nerka:1:pr1,present,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,"(Jordan & Gilbert, 1880)",accepted,Species,271040,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania
GoA2019_Stn12:trawl1:Oncorhynchus nerka:1,GoA2019_Stn12:trawl1:Oncorhynchus nerka:1:pr2,present,Symbolophorus californiensis,urn:lsid:marinespecies.org:taxname:272733,"(Eigenmann & Eigenmann, 1889)",accepted,Species,125833,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Symbolophorus
GoA2019_Stn13:trawl1:Oncorhynchus keta:1,GoA2019_Stn13:trawl1:Oncorhynchus keta:1:pr1,present,Coelenterata,urn:lsid:marinespecies.org:taxname:152230,NA,nomen nudum,Phylum,2,Animalia,Coelenterata,NA,NA,NA,NA
GoA2019_Stn13:trawl1:Oncorhynchus nerka:1,GoA2019_Stn13:trawl1:Oncorhynchus nerka:1:pr1,present,Thysanoessa longipes,urn:lsid:marinespecies.org:taxname:237873,"Brandt, 1851",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa
GoA2019_Stn14:trawl1:Oncorhynchus keta:1,GoA2019_Stn14:trawl1:Oncorhynchus keta:1:pr1,present,Thysanoessa longipes,urn:lsid:marinespecies.org:taxname:237873,"Brandt, 1851",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa
GoA2019_Stn14:trawl1:Oncorhynchus keta:2,GoA2019_Stn14:trawl1:Oncorhynchus keta:2:pr1,present,Thysanoessa longipes,urn:lsid:marinespecies.org:taxname:237873,"Brandt, 1851",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa
GoA2019_Stn14:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn14:trawl1:Oncorhynchus kisutch:1:pr1,present,Thysanoessa longipes,urn:lsid:marinespecies.org:taxname:237873,"Brandt, 1851",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa
GoA2019_Stn14:trawl1:Oncorhynchus tschawytscha:1,GoA2019_Stn14:trawl1:Oncorhynchus tschawytscha:1:pr1,present,Pisces,urn:lsid:marinespecies.org:taxname:11676,NA,accepted,Superclass,1828,Animalia,Chordata,NA,NA,NA,NA
GoA2019_Stn15:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn15:trawl1:Oncorhynchus kisutch:1:pr1,present,Thysanoessa longipes,urn:lsid:marinespecies.org:taxname:237873,"Brandt, 1851",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa
GoA2019_Stn16:trawl1:Oncorhynchus keta:1,GoA2019_Stn16:trawl1:Oncorhynchus keta:1:pr1,present,Thysanoessa longipes,urn:lsid:marinespecies.org:taxname:237873,"Brandt, 1851",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa
GoA2019_Stn16:trawl1:Oncorhynchus keta:2,GoA2019_Stn16:trawl1:Oncorhynchus keta:2:pr1,present,Thysanoessa longipes,urn:lsid:marinespecies.org:taxname:237873,"Brandt, 1851",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa
GoA2019_Stn16:trawl1:Oncorhynchus nerka:1,GoA2019_Stn16:trawl1:Oncorhynchus nerka:1:pr1,present,Tomopteris,urn:lsid:marinespecies.org:taxname:129715,"Eschscholtz, 1825",accepted,Genus,958,Animalia,Annelida,Polychaeta,Phyllodocida,Tomopteridae,Tomopteris
GoA2019_Stn16:trawl1:Oncorhynchus nerka:1,GoA2019_Stn16:trawl1:Oncorhynchus nerka:1:pr2,present,Sergestes pacificus,urn:lsid:marinespecies.org:taxname:585590,"Stimpson, 1860",unaccepted,Species,106829,Animalia,Arthropoda,Malacostraca,Decapoda,Sergestidae,Sergestes
GoA2019_Stn16:trawl1:Oncorhynchus nerka:1,GoA2019_Stn16:trawl1:Oncorhynchus nerka:1:pr3,present,Themisto pacifica,urn:lsid:marinespecies.org:taxname:254453,"(Stebbing, 1888)",accepted,Species,101800,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto
GoA2019_Stn16:trawl1:Oncorhynchus nerka:1,GoA2019_Stn16:trawl1:Oncorhynchus nerka:1:pr4,present,Thysanoessa longipes,urn:lsid:marinespecies.org:taxname:237873,"Brandt, 1851",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa
GoA2019_Stn16:trawl1:Oncorhynchus nerka:2,GoA2019_Stn16:trawl1:Oncorhynchus nerka:2:pr1,present,Pisces,urn:lsid:marinespecies.org:taxname:11676,NA,accepted,Superclass,1828,Animalia,Chordata,NA,NA,NA,NA
GoA2019_Stn16:trawl1:Oncorhynchus nerka:2,GoA2019_Stn16:trawl1:Oncorhynchus nerka:2:pr2,present,Limacina helicina,urn:lsid:marinespecies.org:taxname:140223,"(Phipps, 1774)",accepted,Species,138122,Animalia,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina
GoA2019_Stn16:trawl1:Oncorhynchus nerka:2,GoA2019_Stn16:trawl1:Oncorhynchus nerka:2:pr3,present,Thysanoessa longipes,urn:lsid:marinespecies.org:taxname:237873,"Brandt, 1851",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa
GoA2019_Stn16:trawl1:Oncorhynchus nerka:3,GoA2019_Stn16:trawl1:Oncorhynchus nerka:3:pr1,present,Limacina helicina,urn:lsid:marinespecies.org:taxname:140223,"(Phipps, 1774)",accepted,Species,138122,Animalia,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina
GoA2019_Stn16:trawl1:Oncorhynchus nerka:3,GoA2019_Stn16:trawl1:Oncorhynchus nerka:3:pr2,present,Thysanoessa longipes,urn:lsid:marinespecies.org:taxname:237873,"Brandt, 1851",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa
GoA2019_Stn19:trawl1:Oncorhynchus keta:1,GoA2019_Stn19:trawl1:Oncorhynchus keta:1:pr1,present,Thysanoessa longipes,urn:lsid:marinespecies.org:taxname:237873,"Brandt, 1851",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa
GoA2019_Stn22:trawl1:Oncorhynchus nerka:1,GoA2019_Stn22:trawl1:Oncorhynchus nerka:1:pr1,present,Limacina helicina,urn:lsid:marinespecies.org:taxname:140223,"(Phipps, 1774)",accepted,Species,138122,Animalia,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina
GoA2019_Stn22:trawl1:Oncorhynchus nerka:1,GoA2019_Stn22:trawl1:Oncorhynchus nerka:1:pr2,present,Thysanoessa longipes,urn:lsid:marinespecies.org:taxname:237873,"Brandt, 1851",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa
GoA2019_Stn22:trawl1:Oncorhynchus nerka:1,GoA2019_Stn22:trawl1:Oncorhynchus nerka:1:pr3,present,Okutania anonycha,urn:lsid:marinespecies.org:taxname:1468871,"(Pearcy & Voss, 1963)",unaccepted,Species,1468848,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Okutania
